routeID,fromStop,toStop,date,departure,arrival,scheduledTravelTime
CR-Franklin,South Station,Norwood Central,2019-07-25,03:50:00,04:12:00,22.0
CR-Franklin,South Station,Walpole,2019-07-25,03:50:00,04:18:00,28.0
CR-Franklin,South Station,Franklin,2019-07-25,03:50:00,04:30:00,40.0
CR-Franklin,South Station,Forge Park / 495,2019-07-25,03:50:00,04:40:00,50.0
CR-Franklin,Norwood Central,Walpole,2019-07-25,04:12:00,04:18:00,6.0
CR-Franklin,Norwood Central,Franklin,2019-07-25,04:12:00,04:30:00,18.0
CR-Franklin,Norwood Central,Forge Park / 495,2019-07-25,04:12:00,04:40:00,28.0
CR-Franklin,Walpole,Franklin,2019-07-25,04:18:00,04:30:00,12.0
CR-Franklin,Walpole,Forge Park / 495,2019-07-25,04:18:00,04:40:00,22.0
CR-Franklin,Franklin,Forge Park / 495,2019-07-25,04:30:00,04:40:00,10.0
CR-Haverhill,North Station,Malden Center,2019-07-25,06:43:00,06:54:00,11.0
CR-Haverhill,North Station,Wyoming Hill,2019-07-25,06:43:00,06:57:00,14.0
CR-Haverhill,North Station,Melrose Cedar Park,2019-07-25,06:43:00,06:59:00,16.0
CR-Haverhill,North Station,Melrose Highlands,2019-07-25,06:43:00,07:02:00,19.0
CR-Haverhill,North Station,Greenwood,2019-07-25,06:43:00,07:05:00,22.0
CR-Haverhill,North Station,Wakefield,2019-07-25,06:43:00,07:09:00,26.0
CR-Haverhill,North Station,Reading,2019-07-25,06:43:00,07:15:00,32.0
CR-Haverhill,Malden Center,Wyoming Hill,2019-07-25,06:54:00,06:57:00,3.0
CR-Haverhill,Malden Center,Melrose Cedar Park,2019-07-25,06:54:00,06:59:00,5.0
CR-Haverhill,Malden Center,Melrose Highlands,2019-07-25,06:54:00,07:02:00,8.0
CR-Haverhill,Malden Center,Greenwood,2019-07-25,06:54:00,07:05:00,11.0
CR-Haverhill,Malden Center,Wakefield,2019-07-25,06:54:00,07:09:00,15.0
CR-Haverhill,Malden Center,Reading,2019-07-25,06:54:00,07:15:00,21.0
CR-Haverhill,Wyoming Hill,Melrose Cedar Park,2019-07-25,06:57:00,06:59:00,2.0
CR-Haverhill,Wyoming Hill,Melrose Highlands,2019-07-25,06:57:00,07:02:00,5.0
CR-Haverhill,Wyoming Hill,Greenwood,2019-07-25,06:57:00,07:05:00,8.0
CR-Haverhill,Wyoming Hill,Wakefield,2019-07-25,06:57:00,07:09:00,12.0
CR-Haverhill,Wyoming Hill,Reading,2019-07-25,06:57:00,07:15:00,18.0
CR-Haverhill,Melrose Cedar Park,Melrose Highlands,2019-07-25,06:59:00,07:02:00,3.0
CR-Haverhill,Melrose Cedar Park,Greenwood,2019-07-25,06:59:00,07:05:00,6.0
CR-Haverhill,Melrose Cedar Park,Wakefield,2019-07-25,06:59:00,07:09:00,10.0
CR-Haverhill,Melrose Cedar Park,Reading,2019-07-25,06:59:00,07:15:00,16.0
CR-Haverhill,Melrose Highlands,Greenwood,2019-07-25,07:02:00,07:05:00,3.0
CR-Haverhill,Melrose Highlands,Wakefield,2019-07-25,07:02:00,07:09:00,7.0
CR-Haverhill,Melrose Highlands,Reading,2019-07-25,07:02:00,07:15:00,13.0
CR-Haverhill,Greenwood,Wakefield,2019-07-25,07:05:00,07:09:00,4.0
CR-Haverhill,Greenwood,Reading,2019-07-25,07:05:00,07:15:00,10.0
CR-Haverhill,Wakefield,Reading,2019-07-25,07:09:00,07:15:00,6.0
